frame,timestamp,x_A,y_A,activity_roi_A,hit_A,x_B,y_B,activity_roi_B,hit_B,hits_total,condicion
0,0.48399999999999999,225.869843,186.784134,False,False,487.39917,203.90535,False,False,0,competicion
1,0.51900000000000002,226.009811,186.640518,False,False,487.39917,203.90535,False,False,0,competicion
2,0.54600000000000004,226.048935,186.902145,False,False,487.39917,203.90535,False,False,0,competicion
3,0.57599999999999996,226.047623,186.936508,False,False,483.747253,189.56044,False,False,0,competicion
4,0.60799999999999998,226.089737,186.891022,False,False,487.39917,203.90535,False,False,0,competicion
5,0.64000000000000001,226.119263,187.085632,False,False,487.144135,203.905411,False,False,0,competicion
6,0.67200000000000004,226.258163,186.761444,False,False,487.236847,203.89473,False,False,0,competicion
7,0.70399999999999996,226.194962,187.0849,False,False,487.236847,203.89473,False,False,0,competicion
8,0.73499999999999999,226.333328,186.816193,False,False,483.569458,188.861115,False,False,0,competicion
9,0.76800000000000002,226.443359,186.99353,False,False,483.342712,188.680756,False,False,0,competicion
10,0.80000000000000004,226.378204,186.865387,False,False,483.309174,188.975845,False,False,0,competicion
11,0.83099999999999996,226.405228,186.761444,False,False,483.589752,189.01709,False,False,0,competicion
12,0.88,226.320389,186.614883,False,False,483.019043,189.095245,False,False,0,competicion
13,0.91100000000000003,226.406662,186.57666,False,False,483.282043,188.991455,False,False,0,competicion
14,0.94299999999999995,226.507782,186.545166,False,False,486.855713,204.144272,False,False,0,competicion
15,0.97599999999999998,226.553329,186.493332,False,False,486.656097,204.042328,False,False,0,competicion
16,1.008,226.40741,186.508423,False,False,483.5,189.025635,False,False,0,competicion
17,1.04,226.373734,186.515152,False,False,486.760406,203.963547,False,False,0,competicion
18,1.073,226.364487,186.763245,False,False,486.730164,203.925919,False,False,0,competicion
19,1.1040000000000001,226.42424,186.707077,False,False,487.032867,203.981216,False,False,0,competicion
20,1.135,226.373734,186.72728,False,False,483.293518,188.532333,False,False,0,competicion
21,1.1679999999999999,226.306931,186.825089,False,False,486.925385,203.885574,False,False,0,competicion
22,1.2,226.281555,186.935272,False,False,486.409363,203.865494,False,False,0,competicion
23,1.232,226.233643,186.937698,False,False,486.5,203.699997,False,False,0,competicion
24,1.2789999999999999,226.196259,187.003113,False,False,486.409363,203.865494,False,False,0,competicion
25,1.3120000000000001,226.1922,187.030029,False,False,482.976196,189.057144,False,False,0,competicion
26,1.343,226.196259,187.04985,False,False,483.24472,188.970459,False,False,0,competicion
27,1.3759999999999999,226.171432,186.955551,False,False,483.516907,188.76329,False,False,0,competicion
28,1.407,226.083328,186.90741,False,False,482.511108,188.588882,False,False,0,competicion
29,1.4390000000000001,226.196259,187.04985,False,False,482.692719,188.802078,False,False,0,competicion
30,1.4710000000000001,226.083328,186.90741,False,False,482.771149,188.955231,False,False,0,competicion
31,1.5029999999999999,226.083328,186.925919,False,False,486.476196,204.005295,False,False,0,competicion
32,1.5349999999999999,226.048935,186.920486,False,False,486.409363,203.865494,False,False,0,competicion
33,1.579,226.083328,186.925919,False,False,486.316376,203.937851,False,False,0,competicion
34,1.599,225.996796,187,False,False,486.448273,203.810349,False,False,0,competicion
35,1.6319999999999999,226.158875,187.168228,False,False,482.848969,189,False,False,0,competicion
36,1.679,226.145462,186.996964,False,False,486.448273,203.810349,False,False,0,competicion
37,1.7110000000000001,225.984131,186.920639,False,False,482.608704,188.951691,False,False,0,competicion
38,1.744,226.105927,187.146423,False,False,482.765015,188.404373,False,False,0,competicion
39,1.7769999999999999,226.094345,186.622635,False,False,483.44873,189.158127,False,False,0,competicion
40,1.8089999999999999,226.186661,186.926666,False,False,482.415314,188.650269,False,False,0,competicion
41,1.8400000000000001,226.154327,187.09259,False,False,483.276306,189.043854,False,False,0,competicion
42,1.873,226.024689,186.962967,False,False,482.450012,188.633331,False,False,0,competicion
43,1.9039999999999999,226.171341,187.059189,False,False,482.920197,188.840378,False,False,0,competicion
44,1.9350000000000001,226.0625,186.928574,False,False,482.415314,188.650269,False,False,0,competicion
45,1.968,226.124603,186.86293,False,False,482.67691,189.199997,False,False,0,competicion
46,2,226.012695,186.911118,False,False,486.005371,203.956985,False,False,0,competicion
47,2.032,226.006287,186.77359,False,False,486.111115,203.916672,False,False,0,competicion
48,2.0800000000000001,226.029495,186.923309,False,False,485.60083,203.872421,False,False,0,competicion
49,2.1120000000000001,226.09346,186.993774,False,False,483.186157,189.125534,False,False,0,competicion
50,2.1440000000000001,226.07547,186.827042,False,False,485.60083,204.09465,False,False,0,competicion
51,2.1749999999999998,225.962967,187.012344,False,False,485.635132,204.094589,False,False,0,competicion
52,2.2080000000000002,226.003113,186.86293,False,False,483.244995,189.321289,False,False,0,competicion
53,2.2400000000000002,225.9375,186.866074,False,False,485.408875,204.279999,False,False,0,competicion
54,2.2719999999999998,225.954544,186.963638,False,False,485.5,204,False,False,0,competicion
55,2.3039999999999998,225.954544,186.963638,False,False,485.5,204,False,False,0,competicion
56,2.3359999999999999,225.939102,186.971161,False,False,485.60083,204.09465,False,False,0,competicion
57,2.3679999999999999,225.97554,186.984711,False,False,485.60083,204.09465,False,False,0,competicion
58,2.399,226.086533,186.57692,False,False,485.54007,204.164551,False,False,0,competicion
59,2.4319999999999999,225.929657,187.006119,False,False,485.5,204,False,False,0,competicion
60,2.48,225.954544,186.760605,False,False,485.60083,204.09465,False,False,0,competicion
61,2.5110000000000001,225.894897,187.0961,False,False,485.5,204,False,False,0,competicion
62,2.5430000000000001,225.975082,186.872269,False,False,485.5625,203.916672,False,False,0,competicion
63,2.5750000000000002,225.892258,186.821548,False,False,485.5,204,False,False,0,competicion
64,2.6080000000000001,225.890915,186.827271,False,False,485.191101,204.075562,False,False,0,competicion
65,2.6389999999999998,225.789795,186.921921,False,False,485.39917,203.90535,False,False,0,competicion
66,2.6720000000000002,225.85849,186.905655,False,False,485.39917,203.90535,False,False,0,competicion
67,2.7029999999999998,225.767853,186.910721,False,False,485.5,203.785721,False,False,0,competicion
68,2.7360000000000002,225.784317,186.915039,False,False,485.39917,203.90535,False,False,0,competicion
69,2.7679999999999998,225.784317,186.915039,False,False,485.461853,203.827316,False,False,0,competicion
